objectid,title,creator,date,description,annotation,URL,subject,session_added,submitter,language,display_template,image_thumb,image_alt_text
ail_001,On the Dangers of Stochastic Parrots: Can Language Models Be Too Big? 🦜,"Bender, M. Emily; Gebru, Timnit; McMillian-Major; Shmitchell, Shmargaret",2021-03-01,"The past 3 years of work in NLP have been characterized by the development and deployment of ever larger language models, especially for English. BERT, its variants, GPT-2/3, and others, most recently Switch-C, have pushed the boundaries of the possible both through architectural innovations and through sheer size. Using these pretrained models and the methodology of fine-tuning them for specific tasks, researchers have extended the state of the art on a wide array of tasks as measured by leaderboards on specific benchmarks for English. In this paper, we take a step back and ask: How big is too big? What are the possible risks associated with this technology and what paths are available for mitigating those risks? We provide recommendations including weighing the environmental and financial costs first, investing resources into curating and carefully documenting datasets rather than ingesting everything on the web, carrying out pre-development exercises evaluating how the planned approach fits into research and development goals and supports stakeholder values, and encouraging research directions beyond ever larger language models.",Critical of LLMs,https://doi.org/10.1145/3442188.3445922,generative AI; paper;,,"RIbaric, Tim",eng,item,/objects/ail_001.png,screen capture of resource
ail_002,What do we mean by equitable and accountable AI?,Algorithm Justice League ,2024-02-14,Provides definition and description of equitable and accountable AI,The AJL strives to ensure that AI advancements encorporate ethical considerations,https://www.ajl.org/learn-more,week-1; ethics; statement;,,"Ribaric, Tim",eng,item,/objects/ail_002.png,screen capture of resource
ail_003,Can we build AI without losing control over it?,"Harris, Sam",2024-02-14,"Harris is a neuroscientist and philosopher,  this is the video of a TED talk he gave on the topic",Communicates the stakes in plain language suitable for non-experts.,https://www.youtube.com/watch?v=8nt3edWLgIg,week-1; ethics; AGI;,,"Ribaric, Tim",eng,item,/objects/ail_003.png,screen capture of resource
ail_004,Learn to Take on the Ceiling,"Reben, A",2021-01-01,Reading found on page 105 - 114,Thought piece on what it means to anthropomorphizeAI tools,http://archive.org/details/fake-ai,week-1; generative AI; critique;,,"Ribaric, Tim",eng,item,/objects/ail_004.png,screen capture of resource
ail_005,We need a manifesto for Responsible AI,CILIP: the library and information association,2023-09-07,Speech given by the CEO of Chartered Institute of Library and Information Professionals (CILIP) based in the UK.,Makes a call for a manifesto to guide library AI use , https://www.cilip.org.uk/news/650937/We-need-a-manifesto-for-Responsible-AI.htm,week-1; statement; library;,,"RIbaric, Tim",eng,item,/objects/ail_005.png,screen capture of resource
ail_006,ChatGPT: Implications for academic libraries,"Cox, C.; Tzoc, E",2023-03-01,A collection of possible outcomes from ChatGPT for Academic Libraries,Changes are more prognostications as opposed to evidence based projections.,http://doi.org/10.5860/crln.84.3.99,week-2; paper; library;,,"RIbaric, Tim",eng,item,/objects/ail_006.png,screen capture of resource
ail_007,Why automated content moderation won't save us,"Strait,A",2021-01-01,Reading found on page 147 - 159,"Focuses on the human cost of content moderation, a necessary task that creates trauma but sanitizes content.",http://archive.org/details/fake-ai,week-2; ethics; critique;,,"RIbaric, Tim",eng,item,/objects/ail_007.png,screen capture of resource
ail_008,An AI toolkit for libraries,"Upshall, M.",2022-01-01,"Now that artificial intelligence (AI) tools are being widely used across academic publishing, how can we make informed assessments of these utilities? There is a need for a set of skills for evaluating new tools and measuring existing ones, which should enable anyone commissioning or managing AI utilities to understand what questions to ask, what parameters to measure and possible pitfalls to avoid when introducing a new utility. The skills required are not technical. Potential problems include bias in the corpus, a poor training set or poor use of metrics for evaluation. This article gives a quick overview of some of areas where AI tools are being used and how they work. It then provides a checklist for assessment. The goal is not to discredit AI, but to make effective use of it.",An overview of tools commonly considered to be AI that can be used in a library environment,https://doi.org/10.1629/uksg.592,week-2; library; resource;,,"RIbaric, Tim",eng,item,/objects/ail_008.png,screen capture of resource
ail_009,The Democratization of Artificial Intelligence: One Library's approach,"Finley, T. K.",2019-01-01,"This article argues that the current technological revolution that is happening in Artificial Intelligence is not just about its prevalence in daily life, but the real revolution is about the emergence of AI tools that may help to democratize its use. Lowering the barrier to a technology that is perceived more as science fiction than accessible for mass utilization. A Public Library shares its approach in leveraging available tools to enable AI education for all. ",A case study of how a library brought AI minded services to their patrons.,https://doi.org/10.6017/ital.v38i1.10974,week-2; paper; library;,,"RIbaric, Tim",eng,item,/objects/ail_009.png,screen capture of resource
ail_010,How an Iowa School District Used ChatGPT to Ban Books,"Watercutter, A.",2020-01-01,Recalls the story of how ChatGPT was used to aid in a weeding exercise.,Examines library censorship,https://www.wired.com/story/chatgpt-ban-books-iowa-schools-sf-496/ ,week-3; ethics; news;,,"RIbaric, Tim",eng,item,/objects/ail_010.png,screen capture of resource
ail_011,Generative AI for the Library and Information Professionals,IFLA,2024-04-01,List of defitions and further links regarding generative AI from International Federation of Library Associations and Instutions (IFLA),Drafted by IFLA AI Special Interest Group,https://www.ifla.org/generative-ai/,week-3; library; statement; generative AI;,,"RIbaric, Tim",eng,item,/objects/ail_011.png,screen capture of resource
ail_012,Using chatgpt to engage in library instruction? Challenges and opportunities,,2023-02-23,Video presentation on the use of ChatGPT in Library instruction,Produced by Lifelong Information Literacy (LlLi) ,https://www.youtube.com/watch?v=ddkbWPp9ezM,video; library; resource;,,"RIbaric, Tim",eng,item,/objects/ail_012.png,screen capture of resource
ail_013,OpenAI confirms that AI writing detectors don't work,"Edward, B.",2023-01-01,Describes communications from OpenAI describing the limitations of AI detectors,Probably did not surprise anyone,https://arstechnica.com/information-technology/2023/09/openai-admits-that-ai-writing-detectors-dont-work/,week-4; generative AI;,,"RIbaric, Tim",eng,item,/objects/ail_013.png,screen capture of resource
ail_014,The Rise of AI: Implications and Applications of Artificial Intelligence in Academic Libraries by Sandy Hervieux and Amanda Wheatley,"Bartlomeij, A. L.",2023-06-21,Book review of a Association of College and Research Libraries (ARCL) publication on AI,Objective summary of book,https://doi.org/10.33137/cjal-rcbu.v9.41129,week-4; paper; book review;,,"RIbaric, Tim",eng,item,/objects/ail_014.png,screen capture of resource
ail_015,Algorithmic Literacy and the Role for Libraries,"Ridley, M., & Pawlick-Potts, D.",2021-06-17,"Artificial intelligence (AI) is powerful, complex, ubiquitous, often opaque, sometimes invisible, and increasingly consequential in our everyday lives. Navigating the effects of AI as well as utilizing it in a responsible way requires a level of awareness, understanding, and skill that is not provided by current digital literacy or information literacy regimes. Algorithmic literacy addresses these gaps. In arguing for a role for libraries in algorithmic literacy, the authors provide a working definition, a pressing need, a pedagogical strategy, and two specific contributions that are unique to libraries.",Focus on the section entitled: Algorithmic Literacy,https://doi.org/10.6017/ital.v40i2.12963,week-3; ethics; paper;,,"RIbaric, Tim",eng,item,/objects/ail_015.png,screen capture of resource
ail_016,How artificial intelligence might change academic library work: Applying the competencies literature and the theory of the professions,"Cox, A.",2022-03-07,"The probable impact of artificial intelligence (AI) on work, including professional work, is contested, but it is unlikely to leave them untouched. The purpose of this conceptual paper is to consider the likelihood of the adoption of different approaches to AI in academic libraries. As theoretical lenses to guide the analysis the paper draws on both the library and information science (LIS) literature on librarians' competencies and the notions of jurisdiction and hybrid logics drawn from the sociological theory of the professions. The paper starts by outlining these theories and then reviews the nature of AI and the range of its potential uses in academic libraries. The main focus of the paper is on the application of AI to knowledge discovery. Eleven different potential approaches libraries might adopt to such AI applications are analyzed and their likelihood evaluated. Then it is considered how a range of internal and external factors might influence the adoption of AI. In addition to reflecting on the possible impact of AI on librarianship the paper contributes to understanding how to synthesize the competencies literature with the theory of the profession and presents a new understanding of librarians as hybrid.",Examination of changes AI might bring to the field,https://doi.org/10.1002/asi.24635,library; ethics; paper;,,"RIbaric, Tim",eng,item,/objects/ail_017.png,screen capture of resource
ail_017,AI in Libraries: Seven Principles,"Wessel, V.; Willem, J.",2020-05-2020,"Artificial Intelligence (AI) plays an increasingly important role in reading, learning and research, the core activities of the library. The National Library of the Netherlands (KB) appreciates the  reat possibilities that AI offers to help us accomplish our mission to make our users smarter, more reative and more skilled. At the same time we do not close our eyes for unforeseen and unwanted side effects of AI, which may raise ethical questions, perhaps more than other forms of digital transformation. As National Library we feel we have a responsibility in addressing these issues. We have formulated seven principles we feel any AI-application in the context of the Library should comply with. Seven principles that takes the potential and the benefits of AI as starting point, and at the same imes give guidelines to avoid ethical pitfalls.",,https://zenodo.org/doi/10.5281/zenodo.3865343,library; resource; ,,"RIbaric, Tim",eng,item,/objects/ail_018.png,screen capture of resource
ail_018,Introducing the LC Labs Artificial Intelligence Planninng  Framework,"Potter, A.",2023-11-23,Blog post summarizing the introduction of the LC Labs AI Planning Framework.,Produced by the Library of Congress in the United States,https://blogs.loc.gov/thesignal/2023/11/introducing-the-lc-labs-artificial-intelligence-planning-framework/,statement; library; generative AI;,,"RIbaric, Tim",eng,item,/objects/ail_018.png,screen capture of resource
ail_019,Evolving AI Strategies in Libraries: Insights from Two Polls of ARL Member Representatives over Nine Months,"Leo, L. & Vitale, C. H.",2024-03-01,"The onset of new, more accessible, artificial intelligence (AI) technologies marks a significant turning point for libraries, ushering in a period rich with both unparalleled opportunities and complex challenges. In this era of swift technological transformation, libraries stand at a critical intersection. To effectively chart this transition, two quick polls were conducted among members of the Association of Research Libraries (ARL).",ARL poll of institutional strategies,https://doi.org/10.29242/report.aipolls2023,library; poll; policy;,,"RIbaric, Tim",eng,item,/objects/ail_019.png,screen capture of resource
ail_020,Intro to AI for GLAM,The Carpentries,2024-01-31,Tutorial focused on Librarian crowd that presents a from scratch introduction to AI.,Still in 'beta' but addresses ethical considerations and limitations of AI systems,https://carpentries-incubator.github.io/machine-learning-librarians-archivists/,library; resource; generative AI;,,"RIbaric, Tim",eng,item,/objects/ail_020.png,screen capture of resource
ail_021,Researchers devise approach to reduce biases in computer vision data sets,"Shariach, M.",2020-02-12,Recaps the bias concerns found in ImageNet,If this bias exists is it enough to invalidate any advancements this data set has produced?,https://engineering.princeton.edu/news/2020/02/12/researchers-devise-approach-reduce-biases-computer-vision-data-sets,week-1; ethics;,,"RIbaric, Tim",eng,item,/objects/ail_021.png,screen capture of resource
ail_022,GitHub's automatic coding tool rests on untested legal ground,"Gershgorn, D.",2021-07-07,Summary of how copilot is build on public code repositories,Is there a legal case that copilot has violated licensing agreements by harvesting so many public repositories into It's codebase?,https://www.theverge.com/2021/7/7/22561180/github-copilot-legal-copyright-fair-use-public-code,week-2; generative AI;,,"RIbaric, Tim",eng,item,/objects/ail_022.png,screen capture of resource
ail_023,"In Hollywood writers' battle against AI, humans win (for now)","Coyle, J.",2023-09-27,Summary of the AI concerns in the WGA strike from 2023,"Conerns have been alleviated, but perhaps only until the next contract negotiation",https://apnews.com/article/hollywood-ai-strike-wga-artificial-intelligence-39ab72582c3a15f77510c9c30a45ffc8,week-3; news; labour;,,"RIbaric, Tim",eng,item,/objects/ail_023.png,screen capture of resource
ail_024,Introducing our AI Metadata Generator,"Rose-Hellmann, I.",2024-02-25,Press release from ExLibris,Will this type of tool reducte the amount of librarians jobs into the future?,https://exlibrisgroup.com/blog/artificial-intelligence-blog-series-introducing-our-ai-metadata-generator/,week-4; news; generative AI;,,"RIbaric, Tim",eng,item,/objects/ail_024.png,screen capture of resource
ail_025,Exclusive: OpenAI Used Kenyan Workers on Less Than $2 Per Hour to Make ChatGPT Less Toxic,"Perrigo, B.",2023-01-18,Outlines the working conditions of Kenyans who were hand checking ChatGPT transcripts,It would seem that the AI requires a lot of human intervention afterall.,https://time.com/6247678/openai-chatgpt-kenya-workers/,week-3; labour; generative AI;,,"RIbaric, Tim",eng,item,/objects/ail_025.png,screen capture of resource
ail_026,What is Retrival-Augmented Generation (RAG?),IBM Technology,2023-08-23,6 minute video that describes the basics of RAG.,Does RAG represent an opportunity for Libraries to get into the LLM game?,https://www.youtube.com/watch?v=T-D1OfcDW1M,week-2; generative AI; video;,,"RIbaric, Tim",eng,item,/objects/ail_026.png,screen capture of resource
ail_027,Stability AI reportedly ran out of cash to pay its bills for rented cloudy GPUs,"Mann, T.",2024-04-03,Recounts how an AI company apparently ran out of funds to pay compute charges.,How will companies recoup such enormous costs?,https://www.theregister.com/2024/04/03/stability_ai_bills/,week-2; generative AI; news;,,"RIbaric, Tim",eng,item,/objects/ail_027.png,screen capture of resource
ail_028,How Large Language Models Work,IBM Technology,2023-07-28,Summary of how Large Language Modesl Function,,https://www.youtube.com/watch?v=5sLYAQS9sWQ,week-2; generative AI; video;,,"RIbaric, Tim",eng,item,/objects/ail_028.png,screen capture of resource
ail_029,Neural Networks Explained in 5 minutes,IBM Technology,2022-03-22,Summary of how neural networks function,,https://www.youtube.com/watch?v=jmmW0F0biz0,week-1;video,,"RIbaric, Tim",eng,item,/objects/ail_029.png,screen capture of resource
ail_030,Centaurs and Cyborgs on the Jagged Frontier,"Mollick, Ethan",2023-09-16,Decribes what Mollick calls cyborg work where people augement their work with Large Language Models,Seems very optimistic of the role LLMs will play,https://www.oneusefulthing.org/p/centaurs-and-cyborgs-on-the-jagged,week-3; generative AI;,,"RIbaric, Tim",eng,item,/objects/ail_030.png,screen capture of resource
ail_031,OpenAI establishes safety committee as new artificial intelligence model begins training,Associated Press,2024-05-28,Open AI announced that they will create a Safety and Security Committee.,This committee will be entirely composed of industry insiders. The shortcoming of this new entity is obvious; it will only serve the interests of AI companies. ,https://www.pbs.org/newshour/nation/openai-establishes-safety-committee-as-new-artificial-intelligence-model-begins-training,Open AI; safety; industry; news;,24-May,"Scholz, James",eng,item,/objects/ail_031.png,screen capture of resource
ail_032,Global Affairs offers 'deepest regrets' to 'Inuit and Indigenous communities' over AI-generated image,"Chase, S., Krikup, K.",2023-12-14,The Department of Global Affairs is apologizing for posting a picture generated by artificial intelligence to represent an Indigenous woman on social media.,"Using generative AI in this promotional image rather than a real model took away a potential paid opportunity for a member of an Indigenous group. It also risked misrepresenting Inuit peoples, particularly given potential gaps in training data. This is an example that helps illustrate how we should always ask ourselves: Even though in this situation we *can* use generative AI, *should* we?",https://www.theglobeandmail.com/politics/article-global-affairs-offers-deepest-regrets-to-inuit-and-indigenous/,equity; labour; news;,24-May,,eng,item,/objects/ail_032.png,screen capture of resource
ail_033,An Alternative to Conventional Neural Networks Could Help Reveal What AI Is Doing behind the Scenes,"Bischoff, M.",2024-05-28,"This article is about a way to possibly make AI simpler and predictable - If Kolmogorov-Arnold networks (KANs) can be combined with AI (including LLMs, although these networks seem to be better suited for math), we may be able to understand how LLMs work.",,https://www.scientificamerican.com/article/an-alternative-to-conventional-neural-networks-could-help-reveal-what-ai-is/,AI; LLM; Black-box;,24-May,"Krajecki, Lisa",eng,item,/objects/ail_033.png,screen capture of resource
ail_034,Developing responsible AI practices at the Smithsonian Institution,"Dikow, R.B., DiPietro, C., et al.",2023-10-25,"Many of us working with metadata are very interested in how AI tools can be used for resource description at a large scale. Artifacts (as opposed to textual documents) present a particular challenge for AI-generated metadata, and I appreciate how the Smithsonian took a serious look at potential bias in this area. Reading about their path toward creating an AI values statement was also enlightening.",,https://riojournal.com/article/113334/,machine-learning; metadata; ethics,24-May,"Grzegorski, Jessica",eng,item,/objects/ail_034.png,screen capture of resource
ail_035,Many Americans think generative AI programs should credit the sources they rely on,"Tyson, A., & Kennedy, B.",2024-03-26,"The article brings up the very important question of whether or not sources should be cited by AI. Instead of focusing on the yes and no responses on citation, I feel like we should be talking about the third that are not sure AI should be cited. Are they skeptics, do they need more of an explanation of AI? What are their reasons?",,https://www.pewresearch.org/short-reads/2024/03/26/many-americans-think-generative-ai-programs-should-credit-the-sources-they-rely-on/,generative AI; Chat-GPT;,24-May,"Kepple, Jennifer",eng,item,/objects/ail_035.png,screen capture of resource
ail_036,The ROBOT Test,sahervieux,2020-03-11,"This resource encapsulates this course's perspective of skepticism in a succinct tool that helps librarians, patrons, and any AI user to evaluate AI products. The resource guides users not only to consider inherent biases in the tool, but also the ethics of the creators, and their own objectives for using the tool, in order to make informed and deliberate decisions about how they use AI.",,https://thelibrairy.wordpress.com/2020/03/11/the-robot-test/,ethics; resource;,24-May,"Taylor, Lindsay",eng,item,/objects/ail_036.png,screen capture of resource
